"","ID","NoAuthors","NoCollaborations","Origin.Country","Int.Collab","Countries","journal"
"121","25307932",13,6,"USA",1,"USA","cell"
"122","25303535",9,3,"USA",1,"USA","cell"
"123","25303534",12,3,"USA",1,"USA","cell"
"124","25303533",11,9,"USA",2,"USA,Canada","cell"
"125","25303532",4,2,"USA",1,"USA","cell"
"126","25303531",11,6,"USA",2,"USA,China","cell"
"127","25303530",12,6,"USA",2,"USA,China","cell"
"128","25303529",4,3,"USA",2,"USA,UK","cell"
"129","25303528",16,6,"Israel",3,"Israel,USA,Sweden","cell"
"130","25303527",11,6,"USA",2,"USA,Brazil","cell"
"131","25303526",3,2,"USA",1,"USA","cell"
"132","25303525",9,5,"USA",1,"USA","cell"
"133","25303524",5,3,"USA",1,"USA","cell"
"134","25303523",3,3,"USA",1,"USA","cell"
"135","25303522",1,1,"USA",1,"USA","cell"
"136","25303521",2,2,"Germany",1,"Germany","cell"
"137","25303520",4,2,"USA",1,"USA","cell"
"138","25303519",1,1,"USA",1,"USA","cell"
"139","25303518",13,13,"USA",1,"USA","cell"
"140","25284152",16,7,"Switzerland",3,"Switzerland,USA,UK","cell"
"141","25284151",20,8,"USA",2,"USA,France","cell"
"142","25263330",21,14,"USA",1,"USA","cell"
"143","25259928",2,2,"Belgium",1,"Belgium","cell"
"144","25259927",43,26,"USA",4,"USA,Poland,Netherlands,Turkey","cell"
"145","25259926",10,6,"USA",1,"USA","cell"
"146","25259925",3,2,"USA",1,"USA","cell"
"147","25259924",4,3,"USA",1,"USA","cell"
"148","25259923",3,3,"USA",1,"USA","cell"
"149","25259922",29,18,"USA",4,"USA,UK,Japan,Australia","cell"
"150","25259921",14,8,"USA",1,"USA","cell"
"151","25259920",6,3,"USA",1,"USA","cell"
"152","25259919",4,4,"Germany",1,"Germany","cell"
"153","25259918",18,8,"Sweden",1,"Sweden","cell"
"154","25259917",7,2,"USA",1,"USA","cell"
"155","25259916",1,1,"USA",1,"USA","cell"
"156","25259915",2,2,"France",1,"France","cell"
"157","25259914",2,2,"USA",1,"USA","cell"
"158","25259913",2,2,"USA",1,"USA","cell"
"159","25259912",1,1,"USA",1,"USA","cell"
"160","25242744",6,6,"China",1,"China","cell"
"161","25219674",12,9,"USA",2,"USA,Puerto Rico","cell"
"162","25215498",2,2,"Belgium",1,"Belgium","cell"
"163","25215497",28,15,"Canada",4,"Canada,Chile,USA,France","cell"
"164","25215496",13,8,"Switzerland",2,"Switzerland,Netherlands","cell"
"165","25215495",9,6,"USA",2,"USA,India","cell"
"166","25215494",13,9,"USA",1,"USA","cell"
"167","25215493",4,3,"USA",2,"USA,Spain","cell"
"168","25215492",5,5,"USA",2,"USA,Singapore","cell"
"169","25215491",3,3,"USA",1,"USA","cell"
"170","25215490",10,5,"USA",1,"USA","cell"
"171","25215489",9,6,"USA",1,"USA","cell"
"172","25215488",13,7,"Canada",1,"Canada","cell"
"173","25215487",23,14,"Israel",4,"Israel,Denmark,Netherlands,Switzerland","cell"
"174","25215486",13,9,"Japan",3,"Japan,UK,Germany","cell"
"175","25215485",6,5,"USA",2,"USA,Israel","cell"
"176","25215484",2,2,"USA",1,"USA","cell"
"177","25215483",2,2,"Canada",1,"Canada","cell"
"178","25215482",1,1,"USA",1,"USA","cell"
"179","25215481",2,1,"USA",1,"USA","cell"
"180","25215480",3,1,"USA",1,"USA","cell"
"181","25215479",4,2,"USA",1,"USA","cell"
"182","25201530",39,18,"USA",2,"USA,Netherlands","cell"
"183","25201529",15,4,"Netherlands",2,"Netherlands,USA","cell"
"184","25201528",6,4,"USA",1,"USA","cell"
"185","25175626",4,3,"USA",2,"USA,Canada","cell"
"186","25171418",4,3,"USA",1,"USA","cell"
"187","25171417",12,6,"Israel",3,"Israel,UK,USA","cell"
"188","25171416",12,9,"USA",3,"USA,Switzerland,India","cell"
"189","25171415",6,2,"USA",2,"USA,United Arab Emirates","cell"
"190","25171414",7,6,"USA",1,"USA","cell"
"191","25171413",7,3,"UK",2,"UK,USA","cell"
"192","25171412",11,6,"Switzerland",2,"Switzerland,USA","cell"
"193","25171411",20,8,"USA",1,"USA","cell"
"194","25171410",16,7,"USA",2,"USA,Singapore","cell"
"195","25171409",12,9,"USA",2,"USA,Israel","cell"
"196","25171408",4,4,"USA",2,"USA,Israel","cell"
"197","25171407",9,4,"Germany",2,"Germany,UK","cell"
"198","25171406",10,7,"USA",1,"USA","cell"
"199","25171405",15,8,"USA",3,"USA,Korea,Israel","cell"
"200","25171404",7,3,"Israel",1,"Israel","cell"
"201","25171403",14,7,"USA",1,"USA","cell"
"202","25171402",3,2,"Korea",1,"Korea","cell"
"203","25171401",2,2,"USA",1,"USA","cell"
"204","25171400",2,2,"UK",1,"UK","cell"
"205","25171399",2,2,"USA",1,"USA","cell"
"206","25171398",2,2,"USA",1,"USA","cell"
"207","25156949",3,3,"USA",1,"USA","cell"
"208","25131990",7,6,"USA",1,"USA","cell"
"209","25131989",16,7,"USA",3,"USA,UK,Israel","cell"
"210","25126794",15,12,"USA",1,"USA","cell"
"211","25126793",6,5,"USA",2,"USA,Brazil","cell"
"212","25126792",8,6,"USA",1,"USA","cell"
"213","25126791",6,3,"Austria",1,"Austria","cell"
"214","25126790",2,2,"USA",1,"USA","cell"
"215","25126789",11,7,"USA",1,"USA","cell"
"216","25126788",9,6,"USA",2,"USA,France","cell"
"217","25126787",9,8,"USA",3,"USA,Israel,Netherlands","cell"
"218","25126786",9,7,"USA",1,"USA","cell"
"219","25126785",4,2,"USA",1,"USA","cell"
"220","25126784",10,4,"USA",1,"USA","cell"
"221","25126783",6,2,"USA",1,"USA","cell"
"222","25126782",5,3,"USA",1,"USA","cell"
"223","25126781",8,5,"Switzerland",2,"Switzerland,Germany","cell"
"224","25126780",15,10,"USA",2,"USA,United Arab Emirates","cell"
"225","25126779",2,2,"USA",1,"USA","cell"
"226","25126778",2,2,"Germany",1,"Germany","cell"
"227","25126777",2,2,"France",2,"France,USA","cell"
"228","25126776",2,2,"China",2,"China,USA","cell"
"229","25109877",339,20,"USA",4,"USA,Spain,Canada,NA","cell"
"230","25109876",8,5,"USA",1,"USA","cell"
"231","25088144",9,4,"USA",1,"USA","cell"
"232","25083876",17,5,"USA",1,"USA","cell"
"233","25083875",12,7,"USA",1,"USA","cell"
"234","25083874",10,7,"USA",2,"USA,Netherlands","cell"
"235","25083873",12,8,"Italy",3,"Italy,Czech Republic,Singapore","cell"
"236","25083872",10,4,"Canada",1,"Canada","cell"
"237","25083871",16,4,"China",2,"China,USA","cell"
"238","25083870",7,5,"USA",1,"USA","cell"
"239","25083869",18,9,"USA",3,"USA,Germany,Denmark","cell"
"240","25083868",11,9,"USA",2,"USA,Israel","cell"
"241","25083867",6,4,"USA",2,"USA,UK","cell"
"242","25083866",14,8,"USA",3,"USA,Germany,Netherlands","cell"
"243","25083865",10,4,"USA",1,"USA","cell"
"244","25083864",2,2,"USA",1,"USA","cell"
"245","25083863",2,2,"USA",1,"USA","cell"
"246","25083862",1,1,"USA",1,"USA","cell"
"247","25065977",27,9,"USA",2,"USA,Malawi","cell"
"248","25042851",3,2,"Germany",1,"Germany","cell"
"249","25036639",2,1,"USA",1,"USA","cell"
"250","25036638",10,6,"USA",1,"USA","cell"
"251","25036637",10,6,"USA",3,"USA,Canada,Singapore","cell"
"252","25036636",4,2,"USA",1,"USA","cell"
"253","25036635",15,10,"USA",3,"USA,Netherlands,India","cell"
"254","25036634",2,2,"USA",1,"USA","cell"
"255","25036633",8,4,"USA",2,"USA,Canada","cell"
"256","25036632",13,9,"USA",1,"USA","cell"
"257","25036631",4,4,"USA",2,"USA,China","cell"
"258","25036630",16,11,"USA",1,"USA","cell"
"259","25036629",21,12,"Canada",2,"Canada,USA","cell"
"260","25036628",8,5,"USA",1,"USA","cell"
"261","25036627",2,2,"USA",1,"USA","cell"
"262","25036626",2,2,"Germany",1,"Germany","cell"
"263","25036625",1,1,"USA",1,"USA","cell"
"264","25036624",2,2,"USA",1,"USA","cell"
"265","25036623",2,2,"USA",1,"USA","cell"
"266","25036622",1,1,"USA",1,"USA","cell"
"267","25018105",7,4,"Israel",2,"Israel,USA","cell"
"268","25018104",24,13,"USA",1,"USA","cell"
"269","25018103",9,6,"USA",1,"USA","cell"
"270","24998931",4,4,"USA",1,"USA","cell"
"271","24998930",5,2,"Germany",1,"Germany","cell"
"272","24998929",34,17,"USA",5,"USA,Netherlands,Italy,Belgium,UK","cell"
"273","24995987",5,5,"USA",1,"USA","cell"
"274","24995986",9,6,"USA",1,"USA","cell"
"275","24995985",5,2,"USA",1,"USA","cell"
"276","24995984",12,8,"USA",1,"USA","cell"
"277","24995983",12,7,"Germany",3,"Germany,USA,Mexico","cell"
"278","24995982",5,4,"USA",1,"USA","cell"
"279","24995981",13,9,"Singapore",2,"Singapore,USA","cell"
"280","24995980",10,4,"Canada",1,"Canada","cell"
"281","24995979",16,5,"Israel",2,"Israel,USA","cell"
"282","24995978",5,5,"USA",3,"USA,India,Israel","cell"
"283","24995977",19,8,"USA",4,"USA,Sweden,Germany,Italy","cell"
"284","24995976",35,14,"Austria",3,"Austria,Germany,USA","cell"
"285","24995975",2,2,"Canada",1,"Canada","cell"
"286","24995974",1,1,"USA",1,"USA","cell"
"287","24995973",1,1,"Germany",1,"Germany","cell"
"288","24995972",2,2,"Netherlands",2,"Netherlands,USA","cell"
"289","24976009",13,6,"Italy",1,"Italy","cell"
"290","24954536",15,6,"USA",1,"USA","cell"
"291","24954535",30,11,"USA",2,"USA,Switzerland","cell"
"292","24949980",3,3,"Germany",2,"Germany,France","cell"
"293","24949979",5,3,"USA",1,"USA","cell"
"294","24949978",7,5,"USA",1,"USA","cell"
"295","24949977",5,3,"USA",1,"USA","cell"
"296","24949976",7,4,"USA",1,"USA","cell"
"297","24949975",6,2,"USA",1,"USA","cell"
"298","24949974",16,7,"USA",1,"USA","cell"
"299","24949973",5,3,"Germany",2,"Germany,Russia","cell"
"300","24949972",10,6,"USA",1,"USA","cell"
"301","24949971",7,5,"China",2,"China,USA","cell"
"302","24949970",13,9,"USA",2,"USA,Sweden","cell"
"303","24949969",22,14,"France",4,"France,Korea,Switzerland,Australia","cell"
"304","24949968",11,6,"USA",2,"USA,China","cell"
"305","24949967",14,4,"USA",1,"USA","cell"
"306","24949966",5,4,"USA",1,"USA","cell"
"307","24949965",5,5,"USA",3,"USA,Austria,Switzerland","cell"
"308","24949964",2,2,"USA",1,"USA","cell"
"309","24949963",2,2,"USA",1,"USA","cell"
"310","24949962",2,2,"Netherlands",2,"Netherlands,UK","cell"
"311","24949961",1,1,"USA",1,"USA","cell"
"312","24949960",2,2,"USA",1,"USA","cell"
"313","24930395",4,3,"UK",1,"UK","cell"
"314","24910301",14,7,"France",3,"France,USA,Germany","cell"
"315","24906159",2,1,"USA",1,"USA","cell"
"316","24906158",3,3,"Switzerland",1,"Switzerland","cell"
"317","24906157",12,5,"UK",2,"UK,USA","cell"
"318","24906156",4,2,"USA",1,"USA","cell"
"319","24906155",9,3,"USA",1,"USA","cell"
"320","24906154",6,6,"USA",1,"USA","cell"
"321","24906153",4,3,"Austria",1,"Austria","cell"
"322","24906152",10,6,"USA",1,"USA","cell"
"323","24906151",13,7,"USA",2,"USA,Sweden","cell"
"324","24906150",10,6,"USA",1,"USA","cell"
"325","24906149",9,4,"USA",1,"USA","cell"
"326","24906148",8,4,"USA",1,"USA","cell"
"327","24906147",16,7,"USA",3,"USA,Sweden,Australia","cell"
"328","24906146",3,3,"USA",1,"USA","cell"
"329","24906145",3,3,"USA",1,"USA","cell"
"330","24906144",2,2,"Hanover",1,"Hanover","cell"
"331","24906143",2,2,"UK",1,"UK","cell"
"332","24906142",2,2,"France",1,"France","cell"
"333","24906141",2,2,"USA",1,"USA","cell"
"334","24882805",6,4,"USA",1,"USA","cell"
"335","24856970",17,5,"UK",2,"UK,Japan","cell"
"336","24856969",8,4,"USA",1,"USA","cell"
"337","24855955",2,1,"Denmark",1,"Denmark","cell"
"338","24855954",6,2,"USA",1,"USA","cell"
"339","24855953",8,3,"USA",1,"USA","cell"
"340","24855952",9,4,"Germany",1,"Germany","cell"
"341","24855951",6,3,"UK",1,"UK","cell"
"342","24855950",9,6,"USA",2,"USA,France","cell"
"343","24855949",9,5,"UK",1,"UK","cell"
"344","24855948",6,4,"USA",1,"USA","cell"
"345","24855947",12,5,"USA",1,"USA","cell"
"346","24855946",5,3,"USA",1,"USA","cell"
"347","24855945",10,8,"USA",1,"USA","cell"
"348","24855944",4,2,"USA",1,"USA","cell"
"349","24855943",10,8,"USA",1,"USA","cell"
"350","24855942",9,6,"USA",1,"USA","cell"
"351","24855941",2,2,"Belgium",2,"Belgium,USA","cell"
"352","24855940",1,1,"Greece",1,"Greece","cell"
"353","24855939",1,1,"USA",1,"USA","cell"
"354","24855938",2,2,"USA",1,"USA","cell"
"355","24855937",2,2,"Germany",1,"Germany","cell"
"356","24836610",9,4,"UK",2,"UK,Germany","cell"
"357","24813850",14,4,"USA",1,"USA","cell"
"358","24813849",30,8,"Australia",1,"Australia","cell"
"359","24813618",2,1,"UK",1,"UK","cell"
"360","24813617",17,10,"China",2,"China,USA","cell"
"361","24813616",8,5,"France",3,"France,USA,Italy","cell"
"362","24813615",3,2,"USA",1,"USA","cell"
"363","24813614",7,4,"Germany",2,"Germany,USA","cell"
"364","24813613",2,2,"USA",1,"USA","cell"
"365","24813612",3,2,"Canada",1,"Canada","cell"
"366","24813611",9,4,"USA",3,"USA,Norway,Denmark","cell"
"367","24813610",20,10,"USA",3,"USA,Germany,Canada","cell"
"368","24813609",12,7,"Korea",2,"Korea,USA","cell"
"369","24813608",6,5,"USA",1,"USA","cell"
"370","24813607",19,8,"USA",2,"USA,Australia","cell"
"371","24813606",29,17,"China",5,"China,Denmark,USA,Ireland,Sweden","cell"
"372","24813605",5,4,"USA",3,"USA,Germany,Israel","cell"
"373","24813604",2,2,"India",2,"India,UK","cell"
"374","24813603",2,2,"China",1,"China","cell"
"375","24813602",2,2,"USA",1,"USA","cell"
"376","24813601",2,2,"Germany",1,"Germany","cell"
"377","24813600",2,2,"USA",1,"USA","cell"
"378","24792965",5,2,"UK",1,"UK","cell"
"379","24792964",2,2,"USA",1,"USA","cell"
"380","24768692",4,2,"USA",1,"USA","cell"
"381","24768691",7,3,"USA",1,"USA","cell"
"382","24766815",26,3,"Netherlands",1,"Netherlands","cell"
"383","24766814",9,7,"USA",1,"USA","cell"
"384","24766813",9,6,"USA",1,"USA","cell"
"385","24766812",9,4,"USA",1,"USA","cell"
"386","24766811",11,6,"USA",3,"USA,Germany,UK","cell"
"387","24766810",33,14,"USA",5,"USA,Netherlands,Germany,Turkey,France","cell"
"388","24766809",44,21,"USA",4,"USA,Austria,Turkey,Germany","cell"
"389","24766808",4,4,"USA",1,"USA","cell"
"390","24766807",19,6,"Israel",3,"Israel,Italy,USA","cell"
"391","24766806",25,14,"USA",3,"USA,UK,Italy","cell"
"392","24766805",11,5,"USA",1,"USA","cell"
"393","24766804",2,2,"UK",2,"UK,Denmark","cell"
"394","24766803",2,2,"USA",1,"USA","cell"
"395","24766802",1,1,"USA",1,"USA","cell"
"396","24766801",2,2,"USA",1,"USA","cell"
"397","24766800",2,2,"UK",2,"UK,Netherlands","cell"
"398","24766799",3,3,"Germany",1,"Germany","cell"
"399","24746791",16,13,"Japan",1,"Japan","cell"
"400","24746027",6,3,"Japan",2,"Japan,USA","cell"
"401","24726434",24,12,"USA",1,"USA","cell"
"402","24726433",7,5,"USA",2,"USA,China","cell"
"403","24725415",2,2,"USA",1,"USA","cell"
"404","24725414",37,9,"USA",1,"USA","cell"
"405","24725413",14,3,"USA",1,"USA","cell"
"406","24725412",17,12,"USA",2,"USA,Korea","cell"
"407","24725411",7,2,"Germany",1,"Germany","cell"
"408","24725410",9,5,"USA",2,"USA,Switzerland","cell"
"409","24725409",12,5,"USA",2,"USA,Korea","cell"
"410","24725408",4,2,"USA",1,"USA","cell"
"411","24725407",9,6,"France",2,"France,Israel","cell"
"412","24725406",4,2,"Netherlands",1,"Netherlands","cell"
"413","24725405",18,10,"USA",3,"USA,Germany,Australia","cell"
"414","24725404",4,3,"Georgia",2,"Georgia,USA","cell"
"415","24725403",17,11,"Germany",3,"Germany,Austria,Portugal","cell"
"416","24725402",14,3,"Netherlands",2,"Netherlands,Germany","cell"
"417","24725401",2,2,"USA",1,"USA","cell"
"418","24725400",2,2,"USA",1,"USA","cell"
"419","24725399",2,2,"USA",1,"USA","cell"
"420","24725398",1,1,"USA",1,"USA","cell"
"421","24725397",1,1,"USA",1,"USA","cell"
"422","24725396",1,1,"USA",1,"USA","cell"
"423","24703711",21,8,"Germany",3,"Germany,Netherlands,USA","cell"
"424","24679541",1,1,"USA",1,"USA","cell"
"425","24679540",2,2,"USA",1,"USA","cell"
"426","24679539",1,1,"USA",1,"USA","cell"
"427","24679538",3,3,"USA",1,"USA","cell"
"428","24679537",1,1,"Germany",1,"Germany","cell"
"429","24679536",2,2,"USA",1,"USA","cell"
"430","24679535",2,2,"USA",1,"USA","cell"
"431","24679534",3,3,"USA",2,"USA,Israel","cell"
"432","24679533",4,4,"USA",1,"USA","cell"
"433","24679532",1,1,"USA",1,"USA","cell"
"434","24679531",2,2,"USA",1,"USA","cell"
"435","24679530",2,2,"USA",2,"USA,Japan","cell"
"436","24679529",2,2,"France",1,"France","cell"
"437","24679528",2,2,"USA",1,"USA","cell"
"438","24679527",2,2,"USA",1,"USA","cell"
"439","24679526",3,3,"USA",1,"USA","cell"
"440","24679525",1,1,"USA",1,"USA","cell"
"441","24679524",4,4,"Korea",3,"Korea,UK,Canada","cell"
"442","24679523",3,3,"USA",1,"USA","cell"
"443","24679522",2,2,"Netherlands",1,"Netherlands","cell"
"444","24679521",2,2,"USA",1,"USA","cell"
"445","24656405",22,8,"Sweden",1,"Sweden","cell"
"446","24630731",3,1,"USA",1,"USA","cell"
"447","24630730",5,5,"Spain",1,"Spain","cell"
"448","24630729",21,4,"USA",1,"USA","cell"
"449","24630728",2,2,"USA",1,"USA","cell"
"450","24630727",12,5,"USA",2,"USA,France","cell"
"451","24630726",7,3,"Austria",2,"Austria,Switzerland","cell"
"452","24630725",10,7,"USA",2,"USA,Germany","cell"
"453","24630724",16,7,"USA",2,"USA,Japan","cell"
"454","24630723",7,5,"USA",1,"USA","cell"
"455","24630722",10,6,"USA",3,"USA,Netherlands,Germany","cell"
"456","24630721",19,9,"USA",2,"USA,Chile","cell"
"457","24630720",9,5,"Germany",1,"Germany","cell"
"458","24630719",12,8,"Switzerland",2,"Switzerland,Hungary","cell"
"459","24630718",8,6,"USA",1,"USA","cell"
"460","24630717",2,2,"Germany",1,"Germany","cell"
"461","24630716",3,2,"USA",1,"USA","cell"
"462","24630715",1,1,"Germany",1,"Germany","cell"
"463","24630714",2,2,"Germany",1,"Germany","cell"
"464","24630713",2,2,"USA",1,"USA","cell"
"465","24612990",6,5,"USA",1,"USA","cell"
"466","24582333",2,2,"UK",1,"UK","cell"
"467","24581503",11,4,"USA",1,"USA","cell"
"468","24581502",7,4,"USA",1,"USA","cell"
"469","24581501",5,3,"USA",2,"USA,Australia","cell"
"470","24581500",13,9,"Canada",4,"Canada,Israel,USA,UK","cell"
"471","24581499",8,6,"USA",4,"USA,Switzerland,UK,Japan","cell"
"472","24581498",11,5,"USA",1,"USA","cell"
"473","24581497",5,3,"USA",1,"USA","cell"
"474","24581496",8,3,"Germany",1,"Germany","cell"
"475","24581495",16,13,"Netherlands",5,"Netherlands,Germany,USA,Switzerland,Austria","cell"
"476","24581494",2,2,"USA",1,"USA","cell"
"477","24581493",3,2,"USA",1,"USA","cell"
"478","24581492",8,3,"USA",2,"USA,Greece","cell"
"479","24581491",7,5,"USA",1,"USA","cell"
"480","24581490",3,3,"Germany",2,"Germany,Switzerland","cell"
"481","24581489",1,1,"USA",1,"USA","cell"
"482","24581488",3,3,"USA",1,"USA","cell"
"483","24581487",1,1,"Germany",1,"Germany","cell"
"484","24581486",2,2,"USA",1,"USA","cell"
"485","24581485",2,2,"Germany",1,"Germany","cell"
"486","24581484",2,2,"UK",1,"UK","cell"
"487","24561062",9,7,"Sweden",3,"Sweden,France,USA","cell"
"488","24529478",2,2,"UK",1,"UK","cell"
"489","24529477",9,7,"Japan",2,"Japan,USA","cell"
"490","24529384",7,5,"UK",2,"UK,USA","cell"
"491","24529383",3,3,"USA",1,"USA","cell"
"492","24529382",5,3,"USA",1,"USA","cell"
"493","24529381",5,4,"USA",1,"USA","cell"
"494","24529380",3,3,"Germany",1,"Germany","cell"
"495","24529379",8,5,"USA",2,"USA,Israel","cell"
"496","24529378",7,3,"USA",2,"USA,Canada","cell"
"497","24529377",16,7,"Argentina",3,"Argentina,Netherlands,USA","cell"
"498","24529376",11,4,"Korea",1,"Korea","cell"
"499","24529375",9,6,"USA",2,"USA,Australia","cell"
"500","24529374",28,10,"Belgium",5,"Belgium,Germany,USA,Austria,Netherlands","cell"
"501","24529373",5,3,"USA",1,"USA","cell"
